Date;Open;High;Low;Close
21/08/2023 14:15;114207.40;114288.48;114066.51;114288.48
21/08/2023 14:00;114411.41;114420.83;114196.20;114196.20
21/08/2023 13:45;114329.57;114436.10;114322.30;114413.10
21/08/2023 13:30;114403.32;114413.11;114151.68;114350.00
21/08/2023 13:15;114417.70;114436.10;114334.58;114413.86
21/08/2023 13:00;114453.06;114468.35;114331.15;114411.69
21/08/2023 12:45;114390.87;114463.80;114303.76;114463.80
21/08/2023 12:30;114678.96;114743.33;114456.64;114456.64
21/08/2023 12:15;114482.29;114680.38;114397.42;114642.77
21/08/2023 12:00;114601.25;114656.62;114431.45;114439.95
21/08/2023 11:45;114547.57;114760.68;114547.57;114616.92
21/08/2023 11:30;114302.27;114575.44;114267.15;114567.17
21/08/2023 11:15;114639.83;114639.83;114274.81;114308.70
21/08/2023 11:00;114982.60;115035.57;114614.08;114643.92
21/08/2023 10:45;114697.84;114911.23;114613.48;114911.23
21/08/2023 10:30;114914.57;115068.34;114751.83;114804.66
21/08/2023 10:15;115370.02;115415.58;114933.26;114947.64
21/08/2023 10:00;115403.81;115424.65;115162.86;115410.41
18/08/2023 16:45;115452.15;115567.45;115378.18;115408.52
18/08/2023 16:30;115273.56;115451.98;115227.88;115451.98
18/08/2023 16:15;115255.25;115289.31;115185.28;115247.85
18/08/2023 16:00;115339.74;115339.74;115237.43;115254.37
18/08/2023 15:45;115292.60;115401.82;115261.80;115348.76
18/08/2023 15:30;115218.57;115348.02;115210.39;115308.38
18/08/2023 15:15;115149.75;115210.48;115089.19;115210.48
18/08/2023 15:00;115320.93;115381.65;115029.53;115153.71
18/08/2023 14:45;115267.31;115388.55;115267.31;115301.73
18/08/2023 14:30;115404.74;115419.40;115299.00;115314.89
18/08/2023 14:15;115376.27;115397.85;115113.53;115392.57
18/08/2023 14:00;115557.36;115603.24;115372.60;115418.79
18/08/2023 13:45;115635.19;115669.77;115585.45;115590.90
18/08/2023 13:30;115655.48;115675.91;115612.40;115618.57
18/08/2023 13:15;115635.10;115692.13;115599.56;115677.01
18/08/2023 13:00;115563.65;115666.69;115522.66;115627.05
18/08/2023 12:45;115603.57;115636.91;115541.72;115581.50
18/08/2023 12:30;115554.15;115707.68;115524.23;115603.98
