Date;Open;High;Low;Close;Volume
2020-06-22 16:00:00;95426.57;95471.53;94868.81;95335.96;168584300
2020-06-22 15:00:00;95509.87;95509.87;95083.05;95449.79;111220100
2020-06-22 14:00:00;96106.94;96152.26;95393.28;95509.55;101137700
2020-06-22 13:00:00;96007.87;96265.86;95978.75;96109.42;67329900
2020-06-22 12:00:00;96157.84;96288.96;95921.25;96038.23;97274700
2020-06-22 11:00:00;96175.70;96630.39;96016.42;96127.63;144249500
2020-06-22 10:00:00;96572.24;96870.44;96120.47;96328.55;138402200
2020-06-19 16:00:00;96484.78;96659.21;96303.92;96572.10;492309300
2020-06-19 15:00:00;96428.93;96616.28;95874.30;96474.32;123268100
2020-06-19 14:00:00;96643.13;96721.05;96174.24;96466.59;103401500
2020-06-19 13:00:00;97024.63;97024.63;95962.13;96637.42;141310100
2020-06-19 12:00:00;96971.83;97388.65;96971.83;97045.12;109017600
2020-06-19 11:00:00;96948.11;97163.50;96670.28;96986.85;135125900
2020-06-19 10:00:00;96137.89;97540.33;96137.89;96917.19;209388300
2020-06-18 16:00:00;96282.96;96282.96;95942.10;96125.24;191565000
2020-06-18 15:00:00;96536.70;96566.61;96163.96;96346.42;112147200
2020-06-18 14:00:00;96360.25;96775.07;96290.93;96507.55;98427800
2020-06-18 13:00:00;96425.52;96572.40;96126.27;96350.71;94849700
2020-06-18 12:00:00;97109.54;97109.54;96424.74;96465.70;113871600
2020-06-18 11:00:00;95785.96;97093.98;95756.85;97093.98;175618700
2020-06-18 10:00:00;95547.20;95988.51;94697.53;95811.12;218943400
2020-06-17 16:00:00;96003.17;96170.11;95547.29;95547.29;208199500
2020-06-17 15:00:00;96547.78;96547.78;95879.25;96076.14;155071000
2020-06-17 14:00:00;95765.60;96611.40;95765.60;96611.40;168146700
2020-06-17 13:00:00;94661.11;95620.53;94618.70;95620.53;107864200
2020-06-17 12:00:00;94857.71;94899.65;94468.35;94661.36;100179400
2020-06-17 11:00:00;94376.88;95018.88;94121.31;94844.83;185785400
2020-06-17 10:00:00;93531.17;94588.22;93531.17;94269.02;188224600
2020-06-16 16:00:00;93871.47;93877.28;93319.10;93531.17;210679600
2020-06-16 15:00:00;93463.07;93891.37;93356.97;93823.05;120074800
2020-06-16 14:00:00;93988.17;94035.98;93327.11;93451.40;98112700
2020-06-16 13:00:00;93958.19;94366.73;93765.57;93970.87;103566200
2020-06-16 12:00:00;93137.80;94190.16;92857.54;93983.78;167883500
2020-06-16 11:00:00;94697.14;95162.93;93352.33;93405.11;236610100
2020-06-16 10:00:00;92386.66;95215.56;92386.66;94739.49;266493700
2020-06-15 16:00:00;92352.78;93053.81;92126.38;92375.52;229122200
2020-06-15 15:00:00;92080.77;93111.62;92080.77;92341.10;180799000
2020-06-15 14:00:00;91597.60;92361.06;91577.31;92083.84;183554500
2020-06-15 13:00:00;90667.10;91586.90;90633.10;91586.90;163897200
2020-06-15 12:00:00;90551.20;90978.15;90482.69;90667.93;143949600
2020-06-15 11:00:00;91210.30;91471.30;90515.13;90515.13;190606400
2020-06-15 10:00:00;92780.35;92780.35;90147.92;91224.02;245825800
2020-06-12 16:00:00;91918.70;92795.27;91918.70;92795.27;28576400
2020-06-12 15:00:00;91232.76;92060.17;91060.92;91831.10;85189300
2020-06-12 14:00:00;92284.45;92467.63;91139.32;91198.43;138858700
